#					E^-x values and Relative Errors for all three methods
#Truncation Value N      Method 1   Method2              Method3    Relative Error1   Relative Error2    Relative Error3

       10                1342.59    1342.59              7.78676e-05     2.95725e+07     2.95725e+07    0.715149
       20                 13.3969    13.3969              4.54721e-05     295085            295085     0.00159064
       30             0.000970342    0.000970342           4.53999e-05     20.3732       20.3732        5.35694e-08
       40             4.54023e-05    4.54023e-05           4.53999e-05     5.3128e-05   5.31321e-05    1.33701e-07
       50             4.53999e-05    4.53999e-05           4.53999e-05     7.2223e-09   3.05977e-09    1.33701e-07
       60             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       70             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       80             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       90             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       100             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       110             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       120             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       130             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       140             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       150             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       160             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       170             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       180             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       190             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       200             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       210             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       220             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       230             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       240             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       250             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       260             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       270             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       280             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       290             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
       300             4.53999e-05    4.53999e-05           4.53999e-05     7.23421e-09   3.07167e-09    1.33701e-07
