Time	y(t)
0.0000	0.000000
0.0010	0.000001
0.0020	0.000002
0.0030	0.000005
0.0040	0.000008
0.0050	0.000013
0.0060	0.000018
0.0070	0.000025
0.0080	0.000032
0.0090	0.000041
0.0100	0.000050
0.0110	0.000061
0.0120	0.000072
0.0130	0.000085
0.0140	0.000098
0.0150	0.000113
0.0160	0.000129
0.0170	0.000145
0.0180	0.000163
0.0190	0.000182
0.0200	0.000201
0.0210	0.000222
0.0220	0.000244
0.0230	0.000267
0.0240	0.000290
0.0250	0.000315
0.0260	0.000341
0.0270	0.000368
0.0280	0.000396
0.0290	0.000425
0.0300	0.000455
0.0310	0.000486
0.0320	0.000518
0.0330	0.000551
0.0340	0.000585
0.0350	0.000620
0.0360	0.000656
0.0370	0.000693
0.0380	0.000731
0.0390	0.000770
0.0400	0.000811
0.0410	0.000852
0.0420	0.000894
0.0430	0.000938
0.0440	0.000982
0.0450	0.001028
0.0460	0.001074
0.0470	0.001122
0.0480	0.001171
0.0490	0.001220
0.0500	0.001271
0.0510	0.001323
0.0520	0.001376
0.0530	0.001430
0.0540	0.001485
0.0550	0.001541
0.0560	0.001598
0.0570	0.001656
0.0580	0.001715
0.0590	0.001775
0.0600	0.001837
0.0610	0.001899
0.0620	0.001962
0.0630	0.002027
0.0640	0.002092
0.0650	0.002159
0.0660	0.002227
0.0670	0.002295
0.0680	0.002365
0.0690	0.002436
0.0700	0.002508
0.0710	0.002581
0.0720	0.002655
0.0730	0.002731
0.0740	0.002807
0.0750	0.002884
0.0760	0.002963
0.0770	0.003042
0.0780	0.003123
0.0790	0.003204
0.0800	0.003287
0.0810	0.003371
0.0820	0.003456
0.0830	0.003542
0.0840	0.003629
0.0850	0.003717
0.0860	0.003806
0.0870	0.003897
0.0880	0.003988
0.0890	0.004081
0.0900	0.004174
0.0910	0.004269
0.0920	0.004365
0.0930	0.004462
0.0940	0.004560
0.0950	0.004659
0.0960	0.004759
0.0970	0.004860
0.0980	0.004963
0.0990	0.005066
0.1000	0.005171
0.1010	0.005277
0.1020	0.005383
0.1030	0.005491
0.1040	0.005600
0.1050	0.005711
0.1060	0.005822
0.1070	0.005934
0.1080	0.006048
0.1090	0.006162
0.1100	0.006278
0.1110	0.006395
0.1120	0.006513
0.1130	0.006632
0.1140	0.006752
0.1150	0.006873
0.1160	0.006996
0.1170	0.007119
0.1180	0.007244
0.1190	0.007370
0.1200	0.007497
0.1210	0.007625
0.1220	0.007754
0.1230	0.007884
0.1240	0.008016
0.1250	0.008148
0.1260	0.008282
0.1270	0.008417
0.1280	0.008553
0.1290	0.008690
0.1300	0.008828
0.1310	0.008968
0.1320	0.009108
0.1330	0.009250
0.1340	0.009393
0.1350	0.009537
0.1360	0.009682
0.1370	0.009828
0.1380	0.009976
0.1390	0.010124
0.1400	0.010274
0.1410	0.010425
0.1420	0.010577
0.1430	0.010730
0.1440	0.010884
0.1450	0.011040
0.1460	0.011196
0.1470	0.011354
0.1480	0.011513
0.1490	0.011673
0.1500	0.011834
0.1510	0.011997
0.1520	0.012160
0.1530	0.012325
0.1540	0.012491
0.1550	0.012658
0.1560	0.012826
0.1570	0.012996
0.1580	0.013166
0.1590	0.013338
0.1600	0.013511
0.1610	0.013685
0.1620	0.013860
0.1630	0.014037
0.1640	0.014214
0.1650	0.014393
0.1660	0.014573
0.1670	0.014754
0.1680	0.014937
0.1690	0.015120
0.1700	0.015305
0.1710	0.015491
0.1720	0.015678
0.1730	0.015866
0.1740	0.016056
0.1750	0.016246
0.1760	0.016438
0.1770	0.016631
0.1780	0.016825
0.1790	0.017021
0.1800	0.017217
0.1810	0.017415
0.1820	0.017614
0.1830	0.017814
0.1840	0.018016
0.1850	0.018218
0.1860	0.018422
0.1870	0.018627
0.1880	0.018834
0.1890	0.019041
0.1900	0.019250
0.1910	0.019459
0.1920	0.019671
0.1930	0.019883
0.1940	0.020096
0.1950	0.020311
0.1960	0.020527
0.1970	0.020744
0.1980	0.020962
0.1990	0.021182
0.2000	0.021403
0.2010	0.021625
0.2020	0.021848
0.2030	0.022072
0.2040	0.022298
0.2050	0.022525
0.2060	0.022753
0.2070	0.022983
