#x value	u(x) numerical	u(x) analytical
0		0		0
0.00990099	0.00989987		0.0099005
0.019802	0.0197968		0.019798
0.029703	0.0296877		0.0296896
0.039604	0.0395696		0.0395721
0.049505	0.0494391		0.0494422
0.0594059	0.0592932		0.0592969
0.0693069	0.0691283		0.0691326
0.0792079	0.0789411		0.0789459
0.0891089	0.0887279		0.0887334
0.0990099	0.0984853		0.0984914
0.108911	0.10821		0.108216
0.118812	0.117897		0.117904
0.128713	0.127543		0.127551
0.138614	0.137144		0.137153
0.148515	0.146697		0.146705
0.158416	0.156196		0.156205
0.168317	0.165638		0.165647
0.178218	0.175017		0.175028
0.188119	0.184331		0.184342
0.19802	0.193573		0.193585
0.207921	0.20274		0.202752
0.217822	0.211827		0.211839
0.227723	0.220828		0.22084
0.237624	0.229738		0.229751
0.247525	0.238553		0.238567
0.257426	0.247267		0.247281
0.267327	0.255874		0.255889
0.277228	0.26437		0.264385
0.287129	0.272748		0.272763
0.29703	0.281003		0.281019
0.306931	0.289129		0.289145
0.316832	0.297119		0.297136
0.326733	0.304968		0.304985
0.336634	0.312669		0.312686
0.346535	0.320217		0.320234
0.356436	0.327603		0.327621
0.366337	0.334822		0.33484
0.376238	0.341866		0.341884
0.386139	0.348729		0.348748
0.39604	0.355404		0.355422
0.405941	0.361882		0.361901
0.415842	0.368157		0.368177
0.425743	0.374221		0.374241
0.435644	0.380067		0.380086
0.445545	0.385685		0.385705
0.455446	0.391069		0.391089
0.465347	0.396209		0.396229
0.475248	0.401097		0.401118
0.485149	0.405725		0.405746
0.49505	0.410084		0.410105
0.50495	0.414164		0.414185
0.514851	0.417957		0.417978
0.524752	0.421454		0.421475
0.534653	0.424643		0.424664
0.544554	0.427517		0.427538
0.554455	0.430064		0.430085
0.564356	0.432275		0.432296
0.574257	0.434139		0.434161
0.584158	0.435646		0.435668
0.594059	0.436785		0.436806
0.60396	0.437545		0.437566
0.613861	0.437914		0.437936
0.623762	0.437882		0.437903
0.633663	0.437436		0.437457
0.643564	0.436565		0.436586
0.653465	0.435256		0.435277
0.663366	0.433498		0.433518
0.673267	0.431277		0.431297
0.683168	0.42858		0.4286
0.693069	0.425396		0.425415
0.70297	0.421709		0.421729
0.712871	0.417507		0.417526
0.722772	0.412776		0.412795
0.732673	0.407501		0.40752
0.742574	0.401669		0.401687
0.752475	0.395264		0.395282
0.762376	0.388271		0.388289
0.772277	0.380676		0.380693
0.782178	0.372463		0.37248
0.792079	0.363616		0.363632
0.80198	0.354118		0.354134
0.811881	0.343955		0.34397
0.821782	0.333107		0.333122
0.831683	0.32156		0.321574
0.841584	0.309295		0.309308
0.851485	0.296294		0.296307
0.861386	0.282541		0.282553
0.871287	0.268015		0.268027
0.881188	0.2527		0.252711
0.891089	0.236575		0.236585
0.90099	0.219622		0.219631
0.910891	0.20182		0.201829
0.920792	0.18315		0.183158
0.930693	0.163591		0.163598
0.940594	0.143123		0.143129
0.950495	0.121724		0.121729
0.960396	0.0993724		0.0993765
0.970297	0.0760469		0.07605
0.980198	0.0517248		0.051727
0.990099	0.0263836		0.0263847
1		0		0

#maximum error(log) = -4.19386
