#x	interpolation using all 9 points	Interpolation 3 at a time
0			10.6			10.6
2			29.3466			10.1635
4			41.0961			9.87808
6			47.3777			9.74368
8			49.5018			9.76032
10			48.581			9.928
12			45.5507			10.2467
14			41.1877			10.7165
16			36.1276			11.3373
18			30.881			12.1091
20			25.8487			13.032
22			21.335			14.1059
24			17.5607			15.3309
26			14.675			16.7069
28			12.7656			18.2339
30			11.8688			19.912
32			11.9782			21.7411
34			13.0527			23.7213
36			15.0235			25.8525
38			17.8009			28.1347
40			21.2793			30.568
42			25.3431			33.1523
44			29.8704			35.8877
46			34.737			38.7741
48			39.82			41.8115
50			45			45
52			50.164			50.6266
54			55.2067			55.8102
56			60.0324			60.551
58			64.5559			64.849
60			68.7035			68.704
62			72.4129			72.1162
64			75.6342			75.0854
66			78.3294			77.6118
68			80.4721			79.6954
70			82.0473			81.336
72			83.051			82.5338
74			83.4889			83.2886
76			83.376			83.6006
78			82.7357			83.4698
80			81.5988			82.896
82			80.002			81.8794
84			77.9878			80.4198
86			75.6023			78.5174
88			72.8951			76.1722
90			69.9177			73.384
92			66.7226			70.153
94			63.3625			66.479
96			59.8891			62.3622
98			56.3524			57.8026
100			52.8			52.8
102			49.2763			49.2922
104			45.822			45.9366
106			42.4733			42.7334
108			39.262			39.6826
110			36.2148			36.784
112			33.353			34.0378
114			30.6928			31.4438
116			28.2452			29.0022
118			26.0158			26.713
120			24.0052			24.576
122			22.2096			22.5914
124			20.6207			20.759
126			19.2262			19.079
128			18.0108			17.5514
130			16.9565			16.176
132			16.0431			14.953
134			15.2493			13.8822
136			14.5532			12.9638
138			13.9329			12.1978
140			13.3677			11.584
142			12.8385			11.1226
144			12.3288			10.8134
146			11.825			10.6566
148			11.3173			10.6522
150			10.8			10.8
152			10.2722			10.6328
154			9.73776			10.4592
156			9.20554			10.2792
158			8.68933			10.0928
160			8.2075			9.9
162			7.78253			9.7008
164			7.44016			9.4952
166			7.20832			9.2832
168			7.11568			9.0648
170			7.18987			8.84
172			7.45526			8.6088
174			7.93037			8.3712
176			8.62474			8.1272
178			9.53534			7.8768
180			10.6424			7.62
182			11.9047			7.3568
184			13.2543			7.0872
186			14.5901			6.8112
188			15.7718			6.5288
190			16.6117			6.24
192			16.8668			5.9448
194			16.2294			5.6432
196			14.3173			5.3352
198			10.6627			5.0208
200			4.7			4.7
