         0       283
         1       249
         2       209
         3       239
         4       216
         5       203
         6       185
         7       165
         8       148
         9       127
        10       123
        11       131
        12        99
        13        98
        14        90
        15        90
        16        88
        17        59
        18        55
        19        52
        20        56
        21        76
        22        46
        23        43
        24        43
        25        36
        26        43
        27        37
        28        33
        29        37
        30        24
        31        42
        32        27
        33        34
        34        25
        35        22
        36        29
        37        23
        39        10
        40        17
        41        12
        42        19
        43        16
        44        13
        45        16
        46        13
        47        18
        48         7
        49        12
        50        19
        51        18
        52        12
        53        15
        54        11
        55         8
        56        12
        57         9
        58        14
        59        16
        60        12
        61        12
        62         8
        63         9
        64        10
        65        14
        66        10
        67        10
        68        14
        69         6
        70        11
        71        13
        72        14
        73        11
        74        12
        75         8
        76        12
        77        15
        78         6
        79        15
        80        10
        81        10
        82        10
        83        10
        84        12
        85         4
        86         7
        87         9
        88         9
        89        15
        90         9
        91        13
        92         7
        93        12
        94         7
        95        13
        96        11
        97        14
        98        14
        99        11
       100        11
