0.0000 0.0200 4.5229
0.0200 0.0400 1.8902
0.0400 0.0600 1.4681
0.0600 0.0800 1.2442
0.0800 0.1000 1.1050
0.1000 0.1200 1.0210
0.1200 0.1400 0.9424
0.1400 0.1600 0.8918
0.1600 0.1800 0.8385
0.1800 0.2000 0.8087
0.2000 0.2200 0.7861
0.2200 0.2400 0.7520
0.2400 0.2600 0.7489
0.2600 0.2800 0.7157
0.2800 0.3000 0.6915
0.3000 0.3200 0.6937
0.3200 0.3400 0.6670
0.3400 0.3600 0.6768
0.3600 0.3800 0.6651
0.3800 0.4000 0.6511
0.4000 0.4200 0.6454
0.4200 0.4400 0.6391
0.4400 0.4600 0.6423
0.4600 0.4800 0.6397
0.4800 0.5000 0.6363
0.5000 0.5200 0.6331
0.5200 0.5400 0.6342
0.5400 0.5600 0.6458
0.5600 0.5800 0.6325
0.5800 0.6000 0.6418
0.6000 0.6200 0.6476
0.6200 0.6400 0.6610
0.6400 0.6600 0.6682
0.6600 0.6800 0.6885
0.6800 0.7000 0.6835
0.7000 0.7200 0.7046
0.7200 0.7400 0.7250
0.7400 0.7600 0.7548
0.7600 0.7800 0.7602
0.7800 0.8000 0.7907
0.8000 0.8200 0.8091
0.8200 0.8400 0.8448
0.8400 0.8600 0.8887
0.8600 0.8800 0.9509
0.8800 0.9000 1.0190
0.9000 0.9200 1.1261
0.9200 0.9400 1.2608
0.9400 0.9600 1.4569
0.9600 0.9800 1.8795
0.9800 1.0000 4.5105
