#Time		Theta(t)
0		0.2
0.5		0.175
1		0.040625
1.5		-1.00508
2		-9.61753
2.5		-81.0315
3		-673.653
3.5		-5591.9
4		-46409.5
4.5		-385164
5		-3.19657e+06
5.5		-2.65291e+07
6		-2.20171e+08
6.5		-1.82725e+09
7		-1.51648e+10
7.5		-1.25856e+11
8		-1.04451e+12
8.5		-8.66863e+12
9		-7.1943e+13
9.5		-5.97072e+14
10		-4.95524e+15
10.5		-4.11247e+16
11		-3.41304e+17
11.5		-2.83256e+18
12		-2.35081e+19
12.5		-1.95099e+20
13		-1.61917e+21
13.5		-1.34379e+22
14		-1.11524e+23
14.5		-9.25566e+23
15		-7.68149e+24
