# Analytic Solution
# t	x(t)
0.000	1.000000
0.001	0.999998
0.002	0.999992
0.003	0.999982
0.004	0.999968
0.005	0.999950
0.006	0.999928
0.007	0.999902
0.008	0.999872
0.009	0.999838
0.010	0.999800
0.011	0.999758
0.012	0.999712
0.013	0.999662
0.014	0.999608
0.015	0.999550
0.016	0.999488
0.017	0.999422
0.018	0.999352
0.019	0.999278
0.020	0.999200
0.021	0.999118
0.022	0.999032
0.023	0.998942
0.024	0.998848
0.025	0.998750
0.026	0.998648
0.027	0.998542
0.028	0.998432
0.029	0.998318
0.030	0.998201
0.031	0.998079
0.032	0.997953
0.033	0.997823
0.034	0.997689
0.035	0.997551
0.036	0.997409
0.037	0.997263
0.038	0.997113
0.039	0.996960
0.040	0.996802
0.041	0.996640
0.042	0.996474
0.043	0.996304
0.044	0.996130
0.045	0.995953
0.046	0.995771
0.047	0.995585
0.048	0.995396
0.049	0.995202
0.050	0.995004
0.051	0.994803
0.052	0.994597
0.053	0.994387
0.054	0.994174
0.055	0.993956
0.056	0.993735
0.057	0.993509
0.058	0.993280
0.059	0.993046
0.060	0.992809
0.061	0.992567
0.062	0.992322
0.063	0.992072
0.064	0.991819
0.065	0.991562
0.066	0.991301
0.067	0.991035
0.068	0.990766
0.069	0.990493
0.070	0.990216
0.071	0.989935
0.072	0.989650
0.073	0.989361
0.074	0.989068
0.075	0.988771
0.076	0.988470
0.077	0.988165
0.078	0.987857
0.079	0.987544
0.080	0.987227
0.081	0.986907
0.082	0.986582
0.083	0.986254
0.084	0.985921
0.085	0.985585
0.086	0.985244
0.087	0.984900
0.088	0.984552
0.089	0.984200
0.090	0.983844
0.091	0.983484
0.092	0.983120
0.093	0.982752
0.094	0.982380
0.095	0.982004
0.096	0.981625
0.097	0.981241
0.098	0.980853
0.099	0.980462
0.100	0.980067
0.101	0.979667
0.102	0.979264
0.103	0.978857
0.104	0.978446
0.105	0.978031
0.106	0.977612
0.107	0.977189
0.108	0.976763
0.109	0.976332
0.110	0.975897
0.111	0.975459
0.112	0.975017
0.113	0.974571
0.114	0.974120
0.115	0.973666
0.116	0.973208
0.117	0.972747
0.118	0.972281
0.119	0.971811
0.120	0.971338
0.121	0.970861
0.122	0.970379
0.123	0.969894
0.124	0.969405
0.125	0.968912
0.126	0.968416
0.127	0.967915
0.128	0.967411
0.129	0.966902
0.130	0.966390
0.131	0.965874
0.132	0.965354
0.133	0.964830
0.134	0.964302
0.135	0.963771
0.136	0.963236
0.137	0.962696
0.138	0.962153
0.139	0.961606
0.140	0.961055
0.141	0.960501
0.142	0.959942
0.143	0.959380
0.144	0.958814
0.145	0.958244
0.146	0.957670
0.147	0.957092
0.148	0.956511
0.149	0.955926
0.150	0.955336
0.151	0.954744
0.152	0.954147
0.153	0.953546
0.154	0.952942
0.155	0.952334
0.156	0.951722
0.157	0.951106
0.158	0.950486
0.159	0.949863
0.160	0.949235
0.161	0.948604
0.162	0.947970
0.163	0.947331
0.164	0.946689
0.165	0.946042
0.166	0.945392
0.167	0.944739
0.168	0.944081
0.169	0.943420
0.170	0.942755
0.171	0.942086
0.172	0.941413
0.173	0.940737
0.174	0.940057
0.175	0.939373
0.176	0.938685
0.177	0.937994
0.178	0.937298
0.179	0.936599
0.180	0.935897
0.181	0.935190
0.182	0.934480
0.183	0.933766
0.184	0.933049
0.185	0.932327
0.186	0.931602
0.187	0.930873
0.188	0.930141
0.189	0.929405
0.190	0.928665
0.191	0.927921
0.192	0.927174
0.193	0.926422
0.194	0.925668
0.195	0.924909
0.196	0.924147
0.197	0.923381
0.198	0.922611
0.199	0.921838
0.200	0.921061
0.201	0.920280
0.202	0.919496
0.203	0.918708
0.204	0.917916
0.205	0.917121
0.206	0.916322
0.207	0.915519
0.208	0.914713
0.209	0.913903
0.210	0.913089
0.211	0.912272
0.212	0.911451
0.213	0.910626
0.214	0.909798
0.215	0.908966
0.216	0.908130
0.217	0.907291
0.218	0.906448
0.219	0.905602
0.220	0.904752
0.221	0.903898
0.222	0.903041
0.223	0.902180
0.224	0.901315
0.225	0.900447
0.226	0.899575
0.227	0.898700
0.228	0.897821
0.229	0.896939
0.230	0.896052
0.231	0.895163
0.232	0.894270
0.233	0.893373
0.234	0.892472
