Time	y(t)
0.0000	1.000000
0.0010	1.000000
0.0020	0.999998
0.0030	0.999996
0.0040	0.999992
0.0050	0.999988
0.0060	0.999982
0.0070	0.999976
0.0080	0.999968
0.0090	0.999960
0.0100	0.999950
0.0110	0.999940
0.0120	0.999928
0.0130	0.999916
0.0140	0.999902
0.0150	0.999888
0.0160	0.999872
0.0170	0.999856
0.0180	0.999838
0.0190	0.999820
0.0200	0.999800
0.0210	0.999780
0.0220	0.999758
0.0230	0.999736
0.0240	0.999712
0.0250	0.999688
0.0260	0.999662
0.0270	0.999636
0.0280	0.999608
0.0290	0.999580
0.0300	0.999550
0.0310	0.999520
0.0320	0.999488
0.0330	0.999456
0.0340	0.999422
0.0350	0.999388
0.0360	0.999352
0.0370	0.999316
0.0380	0.999278
0.0390	0.999240
0.0400	0.999200
0.0410	0.999160
0.0420	0.999118
0.0430	0.999076
0.0440	0.999032
0.0450	0.998988
0.0460	0.998943
0.0470	0.998896
0.0480	0.998849
0.0490	0.998800
0.0500	0.998751
0.0510	0.998700
0.0520	0.998649
0.0530	0.998596
0.0540	0.998543
0.0550	0.998489
0.0560	0.998433
0.0570	0.998377
0.0580	0.998319
0.0590	0.998261
0.0600	0.998202
0.0610	0.998141
0.0620	0.998080
0.0630	0.998017
0.0640	0.997954
0.0650	0.997890
0.0660	0.997824
0.0670	0.997758
0.0680	0.997691
0.0690	0.997622
0.0700	0.997553
0.0710	0.997483
0.0720	0.997411
0.0730	0.997339
0.0740	0.997266
0.0750	0.997191
0.0760	0.997116
0.0770	0.997040
0.0780	0.996963
0.0790	0.996884
0.0800	0.996805
0.0810	0.996725
0.0820	0.996644
0.0830	0.996561
0.0840	0.996478
0.0850	0.996394
0.0860	0.996309
0.0870	0.996223
0.0880	0.996135
0.0890	0.996047
0.0900	0.995958
0.0910	0.995868
0.0920	0.995777
0.0930	0.995685
0.0940	0.995592
0.0950	0.995498
0.0960	0.995403
0.0970	0.995307
0.0980	0.995210
0.0990	0.995111
0.1000	0.995012
0.1010	0.994912
0.1020	0.994812
0.1030	0.994710
0.1040	0.994607
0.1050	0.994503
0.1060	0.994398
0.1070	0.994292
0.1080	0.994185
0.1090	0.994077
0.1100	0.993968
0.1110	0.993858
0.1120	0.993748
0.1130	0.993636
0.1140	0.993523
0.1150	0.993409
0.1160	0.993295
0.1170	0.993179
0.1180	0.993062
0.1190	0.992945
0.1200	0.992826
0.1210	0.992706
0.1220	0.992586
0.1230	0.992464
0.1240	0.992341
0.1250	0.992218
0.1260	0.992093
0.1270	0.991968
