Time	Euler		Midpoint	Average		RK4
0.00	1.000000	1.000000	1.000000	1.000000
0.20	1.000000	0.980000	0.980000	0.980199
0.40	0.960000	0.922376	0.922768	0.923116
0.60	0.883200	0.833828	0.834920	0.835270
0.80	0.777216	0.724096	0.726047	0.726149
1.00	0.652861	0.604186	0.606975	0.606531
1.20	0.522289	0.484557	0.488008	0.486755
1.40	0.396940	0.373690	0.377523	0.375317
1.60	0.285797	0.277278	0.281179	0.278048
1.80	0.194342	0.198088	0.201774	0.197916
2.00	0.124379	0.136363	0.139628	0.135359
2.20	0.074627	0.090545	0.093271	0.088951
2.40	0.041791	0.058058	0.060216	0.056167
2.60	0.021731	0.035996	0.037623	0.034080
2.80	0.010431	0.021612	0.022784	0.019872
3.00	0.004590	0.012587	0.013397	0.011136
3.20	0.001836	0.007124	0.007663	0.005998
3.40	0.000661	0.003927	0.004273	0.003106
3.60	0.000211	0.002113	0.002328	0.001546
3.80	0.000059	0.001112	0.001242	0.000740
4.00	0.000014	0.000574	0.000651	0.000341
